id: 42189852 	pid: None 	ts: 2010-03-30T00:42
id: 42206124 	pid: None 	ts: 2010-03-30T02:08
id: 42206322 	pid: None 	ts: 2010-03-30T02:09
id: 42211814 	pid: None 	ts: 2010-03-30T02:41
id: 42214497 	pid: 42206322 	ts: 2010-03-30T03:02
id: 42214561 	pid: 42211814 	ts: 2010-03-30T03:03
id: 42214839 	pid: None 	ts: 2010-03-30T03:05
id: 42221399 	pid: 42177539 	ts: 2010-03-30T03:44
id: 42244344 	pid: None 	ts: 2010-03-30T07:25
id: 42246756 	pid: None 	ts: 2010-03-30T08:37
id: 42250426 	pid: 42174612 	ts: 2010-03-30T10:18
id: 42255911 	pid: 41570567 	ts: 2010-03-30T12:09
id: 42287799 	pid: None 	ts: 2010-03-30T15:50
id: 42288267 	pid: None 	ts: 2010-03-30T15:53
id: 42296957 	pid: None 	ts: 2010-03-30T16:39
id: 42298370 	pid: None 	ts: 2010-03-30T16:51
id: 42301728 	pid: None 	ts: 2010-03-30T17:16
id: 42302747 	pid: None 	ts: 2010-03-30T17:23
id: 42303425 	pid: None 	ts: 2010-03-30T17:28
id: 42304655 	pid: None 	ts: 2010-03-30T17:36
id: 42306381 	pid: None 	ts: 2010-03-30T17:49
id: 42309590 	pid: None 	ts: 2010-03-30T18:12
id: 42314273 	pid: None 	ts: 2010-03-30T18:41
id: 42314253 	pid: None 	ts: 2010-03-30T18:41
id: 42324718 	pid: None 	ts: 2010-03-30T19:55
id: 42325382 	pid: 42309590 	ts: 2010-03-30T20:00
id: 42333960 	pid: None 	ts: 2010-03-30T21:06
id: 42337800 	pid: None 	ts: 2010-03-30T21:41
id: 42349366 	pid: None 	ts: 2010-03-30T23:32
id: 42365580 	pid: None 	ts: 2010-03-31T01:29
id: 42374469 	pid: 42337800 	ts: 2010-03-31T02:07
id: 42381745 	pid: None 	ts: 2010-03-31T02:48
id: 42412823 	pid: None 	ts: 2010-03-31T05:38
id: 42420477 	pid: None 	ts: 2010-03-31T06:53
id: 42421199 	pid: None 	ts: 2010-03-31T07:12
id: 42421443 	pid: None 	ts: 2010-03-31T07:19
id: 42428795 	pid: None 	ts: 2010-03-31T09:02
id: 42430787 	pid: None 	ts: 2010-03-31T10:00
id: 42438339 	pid: None 	ts: 2010-03-31T12:31
id: 42438448 	pid: 42324718 	ts: 2010-03-31T12:33
id: 42440720 	pid: 42324718 	ts: 2010-03-31T12:59
id: 42441156 	pid: 42438448 	ts: 2010-03-31T13:04
id: 42450188 	pid: 42441156 	ts: 2010-03-31T14:28
id: 42457702 	pid: 42381745 	ts: 2010-03-31T15:09
id: 42458154 	pid: None 	ts: 2010-03-31T15:13
id: 42465068 	pid: None 	ts: 2010-03-31T16:05
id: 42468583 	pid: None 	ts: 2010-03-31T16:24
id: 42473272 	pid: None 	ts: 2010-03-31T16:42
id: 42485981 	pid: 42421443 	ts: 2010-03-31T17:35
id: 42490776 	pid: None 	ts: 2010-03-31T18:03
id: 42511367 	pid: None 	ts: 2010-03-31T19:33
id: 42520698 	pid: None 	ts: 2010-03-31T20:33
id: 42527737 	pid: None 	ts: 2010-03-31T21:24
id: 42538974 	pid: None 	ts: 2010-03-31T22:31
id: 42548332 	pid: None 	ts: 2010-03-31T23:40
id: 42563501 	pid: None 	ts: 2010-04-01T01:37
id: 42569613 	pid: 42563501 	ts: 2010-04-01T02:26
id: 42571425 	pid: 42485981 	ts: 2010-04-01T02:36
id: 42575577 	pid: None 	ts: 2010-04-01T02:58
id: 42625003 	pid: 41803238 	ts: 2010-04-01T06:59
id: 42628465 	pid: None 	ts: 2010-04-01T07:18
id: 42634007 	pid: None 	ts: 2010-04-01T08:11
id: 42635556 	pid: None 	ts: 2010-04-01T08:24
id: 42648834 	pid: None 	ts: 2010-04-01T10:00
id: 42653861 	pid: None 	ts: 2010-04-01T10:29
id: 42656301 	pid: None 	ts: 2010-04-01T10:44
id: 42660957 	pid: None 	ts: 2010-04-01T11:12
id: 42662419 	pid: None 	ts: 2010-04-01T11:21
id: 42670413 	pid: None 	ts: 2010-04-01T12:03
id: 42670250 	pid: 42365580 	ts: 2010-04-01T12:03
id: 42674956 	pid: 42381745 	ts: 2010-04-01T12:31
id: 42675617 	pid: None 	ts: 2010-04-01T12:40
id: 42685632 	pid: None 	ts: 2010-04-01T13:29
id: 42690917 	pid: None 	ts: 2010-04-01T13:50
id: 42692806 	pid: None 	ts: 2010-04-01T13:57
id: 42693565 	pid: 42527737 	ts: 2010-04-01T14:00
id: 42696544 	pid: None 	ts: 2010-04-01T14:16
id: 42697666 	pid: None 	ts: 2010-04-01T14:25
id: 42698772 	pid: None 	ts: 2010-04-01T14:34
id: 42700092 	pid: None 	ts: 2010-04-01T14:46
id: 42701097 	pid: None 	ts: 2010-04-01T14:54
id: 42701815 	pid: None 	ts: 2010-04-01T15:01
id: 42706448 	pid: None 	ts: 2010-04-01T16:06
id: 42706710 	pid: None 	ts: 2010-04-01T16:11
id: 42707431 	pid: None 	ts: 2010-04-01T16:19
id: 42708083 	pid: None 	ts: 2010-04-01T16:22
id: 42714165 	pid: None 	ts: 2010-04-01T16:54
id: 42715222 	pid: None 	ts: 2010-04-01T16:59
id: 42715605 	pid: None 	ts: 2010-04-01T17:01
id: 42718893 	pid: None 	ts: 2010-04-01T17:17
id: 42719235 	pid: None 	ts: 2010-04-01T17:18
id: 42726549 	pid: None 	ts: 2010-04-01T17:48
id: 42726751 	pid: 42662419 	ts: 2010-04-01T17:49
id: 42738116 	pid: None 	ts: 2010-04-01T18:52
id: 42742437 	pid: None 	ts: 2010-04-01T19:30
id: 42745768 	pid: None 	ts: 2010-04-01T20:01
id: 42746005 	pid: None 	ts: 2010-04-01T20:03
id: 42758407 	pid: None 	ts: 2010-04-01T21:55
id: 42760677 	pid: 42374469 	ts: 2010-04-01T22:18
id: 42763460 	pid: None 	ts: 2010-04-01T22:51
id: 42763399 	pid: None 	ts: 2010-04-01T22:51
id: 42773425 	pid: None 	ts: 2010-04-02T00:22
id: 42789823 	pid: None 	ts: 2010-04-02T01:34
id: 42818234 	pid: None 	ts: 2010-04-02T03:35
id: 42823764 	pid: 41471944 	ts: 2010-04-02T03:58
id: 42828481 	pid: None 	ts: 2010-04-02T04:19
id: 42839527 	pid: None 	ts: 2010-04-02T06:13
id: 42839617 	pid: None 	ts: 2010-04-02T06:15
id: 42839964 	pid: None 	ts: 2010-04-02T06:23
id: 42840233 	pid: None 	ts: 2010-04-02T06:30
id: 42841084 	pid: None 	ts: 2010-04-02T06:51
id: 42845012 	pid: None 	ts: 2010-04-02T08:53
id: 42845378 	pid: None 	ts: 2010-04-02T09:05
id: 42849222 	pid: None 	ts: 2010-04-02T11:01
id: 42856461 	pid: 42763399 	ts: 2010-04-02T13:17
id: 42858800 	pid: None 	ts: 2010-04-02T13:46
id: 42869311 	pid: None 	ts: 2010-04-02T15:10
id: 42869978 	pid: None 	ts: 2010-04-02T15:16
id: 42873337 	pid: 42288267 	ts: 2010-04-02T15:36
id: 42883165 	pid: None 	ts: 2010-04-02T16:45
id: 42884117 	pid: None 	ts: 2010-04-02T16:52
id: 42885449 	pid: None 	ts: 2010-04-02T17:04
id: 42891221 	pid: 42115392 	ts: 2010-04-02T17:49
id: 42893575 	pid: None 	ts: 2010-04-02T18:11
id: 42893750 	pid: None 	ts: 2010-04-02T18:12
id: 42900587 	pid: None 	ts: 2010-04-02T18:50
id: 42905868 	pid: None 	ts: 2010-04-02T19:27
id: 42914850 	pid: None 	ts: 2010-04-02T20:40
id: 42917495 	pid: None 	ts: 2010-04-02T20:58
id: 42919374 	pid: None 	ts: 2010-04-02T21:13
id: 42955191 	pid: None 	ts: 2010-04-03T00:12
id: 42964344 	pid: None 	ts: 2010-04-03T01:14
id: 42967374 	pid: None 	ts: 2010-04-03T01:52
id: 42988436 	pid: None 	ts: 2010-04-03T06:19
id: 42993051 	pid: None 	ts: 2010-04-03T06:49
id: 42998485 	pid: None 	ts: 2010-04-03T07:20
id: 43024844 	pid: None 	ts: 2010-04-03T13:43
id: 43028413 	pid: 42856461 	ts: 2010-04-03T14:34
id: 43033711 	pid: None 	ts: 2010-04-03T15:17
id: 43065933 	pid: None 	ts: 2010-04-03T17:51
id: 43067168 	pid: 42993051 	ts: 2010-04-03T17:57
id: 43070664 	pid: None 	ts: 2010-04-03T18:15
id: 43087201 	pid: None 	ts: 2010-04-03T20:05
id: 43103791 	pid: None 	ts: 2010-04-03T21:30
id: 43110684 	pid: None 	ts: 2010-04-03T22:17
id: 43117144 	pid: None 	ts: 2010-04-03T23:05
id: 43120557 	pid: None 	ts: 2010-04-03T23:47
id: 43121335 	pid: 42964344 	ts: 2010-04-03T23:59
id: 43121580 	pid: 42964344 	ts: 2010-04-04T00:04
id: 43121762 	pid: 42314273 	ts: 2010-04-04T00:07
id: 43122286 	pid: 42967374 	ts: 2010-04-04T00:15
id: 43125439 	pid: None 	ts: 2010-04-04T01:09
id: 43130644 	pid: None 	ts: 2010-04-04T02:29
id: 43133191 	pid: None 	ts: 2010-04-04T03:09
id: 43142673 	pid: 42967374 	ts: 2010-04-04T06:01
id: 43147307 	pid: None 	ts: 2010-04-04T08:23
id: 43156675 	pid: 42873337 	ts: 2010-04-04T13:03
id: 43164576 	pid: 43121335 	ts: 2010-04-04T15:21
id: 43165697 	pid: None 	ts: 2010-04-04T15:39
id: 43167717 	pid: None 	ts: 2010-04-04T16:09
id: 43169991 	pid: 43121335 	ts: 2010-04-04T16:44
id: 43174940 	pid: None 	ts: 2010-04-04T17:56
id: 43184704 	pid: None 	ts: 2010-04-04T19:00
id: 43194144 	pid: 42675617 	ts: 2010-04-04T19:55
id: 43210951 	pid: None 	ts: 2010-04-04T22:13
id: 43211005 	pid: 43110684 	ts: 2010-04-04T22:14
id: 43211548 	pid: None 	ts: 2010-04-04T22:23
id: 43231305 	pid: None 	ts: 2010-04-05T00:25
id: 43236695 	pid: None 	ts: 2010-04-05T00:55
id: 43248651 	pid: None 	ts: 2010-04-05T02:04
id: 43270562 	pid: None 	ts: 2010-04-05T04:01
id: 43271304 	pid: None 	ts: 2010-04-05T04:09
id: 43290022 	pid: None 	ts: 2010-04-05T08:55
id: 43291040 	pid: 42869978 	ts: 2010-04-05T09:28
id: 43291574 	pid: None 	ts: 2010-04-05T09:45
id: 43306493 	pid: None 	ts: 2010-04-05T11:43
id: 43306723 	pid: None 	ts: 2010-04-05T11:44
id: 43331598 	pid: None 	ts: 2010-04-05T14:05
id: 43344972 	pid: None 	ts: 2010-04-05T15:08
id: 43362951 	pid: 43121335 	ts: 2010-04-05T16:25
id: 43390252 	pid: None 	ts: 2010-04-05T18:35
id: 43391311 	pid: None 	ts: 2010-04-05T18:44
id: 43427851 	pid: None 	ts: 2010-04-05T23:16
id: 43433676 	pid: None 	ts: 2010-04-06T00:11
id: 43446991 	pid: None 	ts: 2010-04-06T03:14
id: 43458880 	pid: None 	ts: 2010-04-06T06:41
id: 43467865 	pid: None 	ts: 2010-04-06T09:54
id: 43476463 	pid: None 	ts: 2010-04-06T12:36
id: 43476676 	pid: None 	ts: 2010-04-06T12:39
id: 43490008 	pid: 43433676 	ts: 2010-04-06T14:36
id: 43497930 	pid: None 	ts: 2010-04-06T15:40
id: 43498044 	pid: 43433676 	ts: 2010-04-06T15:41
id: 43510487 	pid: None 	ts: 2010-04-06T17:09
id: 43510718 	pid: None 	ts: 2010-04-06T17:11
id: 43514846 	pid: None 	ts: 2010-04-06T17:44
id: 43519271 	pid: None 	ts: 2010-04-06T18:18
id: 43520790 	pid: 43490008 	ts: 2010-04-06T18:30
id: 43533743 	pid: None 	ts: 2010-04-06T20:05
id: 43545564 	pid: 43467865 	ts: 2010-04-06T21:41
id: 43546360 	pid: None 	ts: 2010-04-06T21:47
id: 43549222 	pid: None 	ts: 2010-04-06T22:14
id: 43559053 	pid: None 	ts: 2010-04-06T23:44
id: 43582956 	pid: None 	ts: 2010-04-07T01:32
id: 43583800 	pid: None 	ts: 2010-04-07T01:36
id: 43596827 	pid: None 	ts: 2010-04-07T02:47
id: 43599661 	pid: 43533743 	ts: 2010-04-07T03:02
id: 43604898 	pid: None 	ts: 2010-04-07T03:43
id: 43605276 	pid: None 	ts: 2010-04-07T03:45
id: 43606167 	pid: None 	ts: 2010-04-07T03:51
id: 43616600 	pid: None 	ts: 2010-04-07T05:53
id: 43616895 	pid: None 	ts: 2010-04-07T05:58
id: 43617023 	pid: None 	ts: 2010-04-07T06:01
id: 43617173 	pid: 43520790 	ts: 2010-04-07T06:04
id: 43620698 	pid: None 	ts: 2010-04-07T07:10
id: 43620716 	pid: 41568452 	ts: 2010-04-07T07:11
id: 43621088 	pid: None 	ts: 2010-04-07T07:21
id: 43636526 	pid: None 	ts: 2010-04-07T11:11
id: 43645618 	pid: 43545564 	ts: 2010-04-07T13:21
id: 43655106 	pid: None 	ts: 2010-04-07T14:36
id: 43667163 	pid: None 	ts: 2010-04-07T16:03
id: 43679061 	pid: None 	ts: 2010-04-07T17:14
id: 43682998 	pid: None 	ts: 2010-04-07T17:31
id: 43686081 	pid: None 	ts: 2010-04-07T17:44
id: 43692779 	pid: None 	ts: 2010-04-07T18:13
id: 43706859 	pid: None 	ts: 2010-04-07T19:41
id: 43707044 	pid: None 	ts: 2010-04-07T19:42
id: 43708647 	pid: None 	ts: 2010-04-07T19:55
id: 43714172 	pid: None 	ts: 2010-04-07T20:34
id: 43717612 	pid: None 	ts: 2010-04-07T20:48
id: 43719315 	pid: None 	ts: 2010-04-07T20:55
id: 43719735 	pid: None 	ts: 2010-04-07T20:56
id: 43727353 	pid: None 	ts: 2010-04-07T21:31
id: 43727850 	pid: None 	ts: 2010-04-07T21:33
id: 43729184 	pid: None 	ts: 2010-04-07T21:40
id: 43731497 	pid: 43692779 	ts: 2010-04-07T21:50
id: 43739123 	pid: None 	ts: 2010-04-07T22:27
id: 43739103 	pid: None 	ts: 2010-04-07T22:27
id: 43740015 	pid: 43729184 	ts: 2010-04-07T22:31
id: 43741172 	pid: None 	ts: 2010-04-07T22:37
id: 43742382 	pid: 43707044 	ts: 2010-04-07T22:42
id: 43748003 	pid: 43739123 	ts: 2010-04-07T23:10
id: 43750851 	pid: None 	ts: 2010-04-07T23:23
id: 43756887 	pid: None 	ts: 2010-04-07T23:52
